Title,Link,Date Added,Closing Date,Max Grant
"Future Leaders Fellowships: Round 10, business and non-academic",https://apply-for-innovation-funding.service.gov.uk/competition/2058/overview/0f904547-f415-4fb9-94a7-0701c38a2ba1,2025-06-14 08:41,Wednesday 5 November 2025 11:00am,£3.0 million
ADOPT Facilitator Support Grant: Round 2,https://apply-for-innovation-funding.service.gov.uk/competition/2223/overview/4e423e05-3228-45e3-9cfe-0b39d1227307,2025-06-14 08:41,Thursday 24 July 2025 11:00am,"£2,500"
MSI Improving energy or resource efficiency in manufacturing FS,https://apply-for-innovation-funding.service.gov.uk/competition/2225/overview/c43ef163-3872-4178-b80d-88c406691610,2025-06-14 08:41,Wednesday 2 July 2025 11:00am,"£100,000"
"New Innovators in Marine and Maritime, Great South West",https://apply-for-innovation-funding.service.gov.uk/competition/2215/overview/67b86d6c-bab9-4a01-aacc-3da2e57edc99,2025-06-14 08:41,Wednesday 2 July 2025 11:00am,"£50,000"
Commercialising Knowledge Assets Fund (CKAF) Autumn,https://apply-for-innovation-funding.service.gov.uk/competition/2217/overview/c555f64e-5485-4e49-89b8-32d61fac4ff0,2025-06-14 08:41,Thursday 4 September 2025 11:00am,"£250,000"
ATI Programme strategic batch: EoI – June 2025,https://apply-for-innovation-funding.service.gov.uk/competition/2218/overview/a45dcc8a-b621-4a79-9e4d-046e19b6b1e9,2025-06-14 08:41,Wednesday 18 June 2025 11:00am,N/A
Defra Farming Innovation Investor Partnership,https://apply-for-innovation-funding.service.gov.uk/competition/2207/overview/05e5263b-75a1-49a0-87f0-261541af0840,2025-06-14 08:41,Wednesday 2 July 2025 11:00am,£3.0 million
Ofgem Strategic Innovation Fund Round 5 Discovery C3,https://apply-for-innovation-funding.service.gov.uk/competition/2204/overview/9da241b9-1fd8-49fb-b8d0-4a81a637b3b5,2025-06-14 08:41,Wednesday 25 June 2025 11:00am,"£150,000"
Ofgem Strategic Innovation Fund Round 4 Discovery C3,https://apply-for-innovation-funding.service.gov.uk/competition/2200/overview/0f0721c8-5a37-4046-8e4f-7649194e8adc,2025-06-14 08:41,Wednesday 25 June 2025 11:00am,"£150,000"
Contracts for Innovation: Scaling community initiatives in diet and exercise,https://apply-for-innovation-funding.service.gov.uk/competition/2191/overview/6a097cf8-8f81-495d-b56f-3f240cfde64c,2025-06-14 08:41,Wednesday 18 June 2025 11:00am,"£250,000"
Contracts for Innovation: Quantum Sensors and PNT Missions Primer,https://apply-for-innovation-funding.service.gov.uk/competition/2209/overview/28f8801b-a8b3-48c8-8c81-64d75341b81d,2025-06-14 08:41,Wednesday 2 July 2025 11:00am,£1.5 million
"Contracts for Innovation: Net Zero Living Tech Trials, phase 3",https://apply-for-innovation-funding.service.gov.uk/competition/2189/overview/a59ac38e-662b-49a5-b7f9-a44c2cc38c61,2025-06-14 08:41,Wednesday 25 June 2025 11:00am,"£100,000"
"Contracts for Innovation: Clean Air, Phase 3",https://apply-for-innovation-funding.service.gov.uk/competition/2181/overview/02aad9d2-c984-4bd5-a3f6-80f25ec62870,2025-06-14 08:41,Wednesday 25 June 2025 11:00am,"£100,000"
Contracts for Innovation: DSbD Advancing CHERI Tools and software,https://apply-for-innovation-funding.service.gov.uk/competition/2194/overview/91c68630-20eb-4247-8296-ae1737637756,2025-06-14 08:41,Wednesday 18 June 2025 11:00am,£3.0 million
Contracts for Innovation: DSbD Advancing CHERI RISC-V Devices,https://apply-for-innovation-funding.service.gov.uk/competition/2198/overview/b2e2fd41-d372-4e33-a6df-8bfefb8de0f9,2025-06-14 08:41,Wednesday 18 June 2025 11:00am,£5.0 million
Canada-UK Semiconductors,https://apply-for-innovation-funding.service.gov.uk/competition/2192/overview/3906cbd5-fec2-4c1f-897d-ccab071708b3,2025-06-14 08:41,Wednesday 15 October 2025 11:00am,"£500,000"
Accelerated Knowledge Transfer 4 (AKT4) Addiction,https://apply-for-innovation-funding.service.gov.uk/competition/2178/overview/2699060f-dd6f-415b-ae47-bead15aa430e,2025-06-14 08:41,Wednesday 2 July 2025 11:00am,"£35,000"
Innovate UK innovation loans future economy: Round 21,https://apply-for-innovation-funding.service.gov.uk/competition/2188/overview/20c89a26-2479-4f80-b35a-b62ed3b9b3ce,2025-06-14 08:41,Wednesday 2 July 2025 11:00am,£2.0 million
Farming Futures R&D Fund: Precision Breeding Competition,https://apply-for-innovation-funding.service.gov.uk/competition/2168/overview/0fef9171-75b0-4f3e-acef-42920e7e5d5e,2025-06-14 08:41,Wednesday 25 June 2025 11:00am,£2.5 million
Farming Futures R&D Fund: low emissions farming,https://apply-for-innovation-funding.service.gov.uk/competition/2169/overview/64b0d550-3f46-4ab4-a0cd-5fa7ac488cb6,2025-06-14 08:41,Wednesday 25 June 2025 11:00am,£2.5 million
